231 49TH ST N	BIRMINGHAM	35212	8TH AVE N / PUBLIC ALY	BIRMINGHAM FD	1211	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 4TH AVE	MIDFIELD	35228	EAST WAY & PUBLIC ALY / GLEN CREST DR	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD
231 4TH AVE N	BESSEMER	35020	3RD ST N & 5TH AVE N / 2ND ST N	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. MCADORY FD | 5. BRIGHTON FD | 6. MCCALLA FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
231 4TH AVE S	BIRMINGHAM	35205	1ST ST S & 4TH AVE / PUBLIC ALY	BIRMINGHAM FD	0210	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 4TH WAY	PLEASANT GROVE	35127	3RD AVE / 1ST TRL	PLEASANT FD/GROVE (AUTOMATIC AID)	PLEASANT_GROVE_FD	492	1. PLEASANT GROVE FD | 2. BIRMINGHAM FD | 3. MINOR FD | 4. HUEYTOWN FD
231 59TH PL S	BIRMINGHAM	35212	3RD AVE S / PUBLIC ALY	BIRMINGHAM FD	1204	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 5TH ST W	WARRIOR	35180	SAWYER DR / LOUISVILLE AVE	WARRIOR FD	WARRIOR_FD	420	1. CANE CREEK FD | 2. KIMBERLY FD | 3. CORNER FD
231 60TH ST	FAIRFIELD	35064	AVENUE C / TERRACE AVE	FAIRFIELD FD	FAIRFIELD_FD	493	1. BIRMINGHAM FD | 2. MIDFIELD FD
231 63RD ST S	BIRMINGHAM	35212	3RD AVE S / PUBLIC ALY	BIRMINGHAM FD	1204	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 68TH ST N	BIRMINGHAM	35206	3RD AVE N & 4TH CT N / 4TH CT N	BIRMINGHAM FD	1213	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 69TH PL N	BIRMINGHAM	35206	PUBLIC ALY / 3RD AVE N	BIRMINGHAM FD	1213	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 6TH AVE N	BIRMINGHAM	35204	3RD ST N / 2ND ST N	BIRMINGHAM FD	1410	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 6TH AVE S	BIRMINGHAM	35205	OMEGA ST / DELTA ST	BIRMINGHAM FD	0208	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 80TH ST S	BIRMINGHAM	35206	PUBLIC ALY / 3RD AVE S	BIRMINGHAM FD	1903	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 85TH ST N	BIRMINGHAM	35206	PUBLIC ALY / 3RD AVE N	BIRMINGHAM FD	1906	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
