630 28TH ST S	BESSEMER	35020	GRANVILLE AVE / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HOOVER FD | 5. EASTERN VALLEY FD | 6. HUEYTOWN FD | 7. MCADORY FD | 8. INDIAN FORD FD | 9. MCCALLA FD
630 2ND AVE N	BESSEMER	35020	7TH ST & 7TH ST N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. MCADORY FD | 7. MCCALLA FD | 8. HOOVER FD | 9. INDIAN FORD FD
630 32ND ST N	BESSEMER	35020	PUBLIC ALY / 7TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. BRIGHTON FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 34TH ST S	BIRMINGHAM	35222	7TH AVE S / 6TH TER S	BIRMINGHAM FD	2202	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 35TH WAY N	BESSEMER	35020	35TH ST N / 7TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HUEYTOWN FD | 5. HOOVER FD | 6. EASTERN VALLEY FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 36TH ST N	BESSEMER	35020	6TH AVE N / 8TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HUEYTOWN FD | 5. HOOVER FD | 6. EASTERN VALLEY FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 39TH ST S	BIRMINGHAM	35222	PUBLIC ALY / 6TH AVE S	BIRMINGHAM FD	2202	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 3RD AVE N	BESSEMER	35020	7TH ST N / 8TH AVE N & 8TH ST N	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. MCADORY FD | 7. MCCALLA FD | 8. HOOVER FD | 9. INDIAN FORD FD
630 3RD AVE W	BIRMINGHAM	35204	7TH ST W / 6TH ST W	BIRMINGHAM FD	1403	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 46TH ST S	BIRMINGHAM	35222	7TH AVE S / 7TH CT S	BIRMINGHAM FD	1008	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
