	HOOVER	352441019	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352441031	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352441083	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352441087	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | VESTAVIA HILLS FD | NORTH SHELBY FD
	HOOVER	352441089	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352441090	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352441091	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352441092	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | NORTH SHELBY FD
	HOOVER	352441093	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | NORTH SHELBY FD
	HOOVER	352441096	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352441098	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443000	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443001	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443002	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443004	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443007	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443008	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443009	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443010	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443011	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443012	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443013	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443014	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443015	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443016	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443017	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443018	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443019	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443020	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443021	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443022	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443023	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443024	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443025	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443026	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443027	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443028	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443062	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443063	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443065	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443066	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443067	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443068	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443069	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443070	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443071	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443072	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443073	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443074	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443075	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443076	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
	HOOVER	352443077	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | HELENA FD | BESSEMER FD | VESTAVIA HILLS FD
	HOOVER	352443078	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
