3001 DAVIS ST	BIRMINGHAM	35020	BIRMINGHAM FD	1101	VERIFY - NO BEAT MATCH	MIDFIELD FD | LIPSCOMB FD | BRIGHTON FD | FAIRFIELD FD
3001 DAWSON AVE SW	BIRMINGHAM	35211	BIRMINGHAM FD	2501	469	MIDFIELD FD | FAIRFIELD FD | HOMEWOOD FD | LIPSCOMB FD
3001 DEBRA DR	FULTONDALE	35068	FULT ST	FULT_ST2	421	FULTONDALE FD | GARDENDALE FD | BIRMINGHAM FD | CENTER POINT FD
3001 DOGWOOD LN	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | BIRMINGHAM FD | GARDENDALE FD | NORTH SMITHFIELD FD
3001 DOLLY RIDGE DR	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	MOUNTAIN BROOK FD | VESTAVIA HILLS FD | ROCKY RIDGE FD | BIRMINGHAM FD
3001 DUNDEE CIR	BIRMINGHAM	35213	BIRMINGHAM FD	0301	465	MOUNTAIN BROOK FD | HOMEWOOD FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
3001 DWAINE AVE	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	492	BESSEMER FD | CONCORD FD | BRIGHTON FD | PLEASANT GROVE FD
3001 ENGLISH OAKS CIR	VESTAVIA HILLS	35226	VESTAVIA FD	VESTAVIA_FD	469	ROCKY RIDGE FD | VESTAVIA HILLS FD | HOOVER FD | HOMEWOOD FD
3001 EXETER AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HOOVER FD
3001 FAYETTE AVE	BIRMINGHAM	35208	BIRMINGHAM FD	2007	469	FAIRFIELD FD | HOMEWOOD FD | MINOR FD | MIDFIELD FD
3001 FISH TRAP RD	UNINCORPORATED	35118	WEST JEFFERSON FD	WEST_JEFFERSON_FD	419	BIRMINGHAM FD | BIRMINGPORT FD | SHADY GROVE FD | ADAMSVILLE FD
3001 FORESTDALE BLVD	UNINCORPORATED	35005	FORESTDALE FD	FORESTDALE_FD	418	ADAMSVILLE FD | GRAYSVILLE FD | MINOR FD | BROOKSIDE FD
3001 FOX GLEN CIR NW	BIRMINGHAM	35215	BIRMINGHAM FD	2803	442	CENTER POINT FD | GLENNWOOD FD | PALMERDALE FD | FULTONDALE FD
3001 GRANVILLE AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HOOVER FD
3001 GREEN VALLEY RD	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	ROCKY RIDGE FD | VESTAVIA HILLS FD | MOUNTAIN BROOK FD | BIRMINGHAM FD
3001 GUESS PARK DR	UNINCORPORATED	35215	CENTER POINT FD	CPFD_3	435	BIRMINGHAM FD | FULTONDALE FD | GLENNWOOD FD | GARDENDALE FD
3001 HIGHLAND DR	UNINCORPORATED	35224	MINOR FD	MINOR_FD_1	498	BIRMINGHAM FD | ADAMSVILLE FD | FORESTDALE FD | MULGA FD
3001 HIGHWAY 280	MOUNTIAN BROOK	35223	NO FIRE COVERAGE	JEFFERSON COUNTY	467	ROCKY RIDGE FD | MOUNTAIN BROOK FD | VESTAVIA HILLS FD | HOMEWOOD FD
3001 HOLBROOK AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HOOVER FD
3001 HUNTSVILLE RD	BIRMINGHAM	35207	BIRMINGHAM FD	1302	VERIFY - NO BEAT MATCH	TARRANT FD | NORTH SMITHFIELD FD | FULTONDALE FD | FORESTDALE FD
3001 INDEPENDENCE DR	HOMEWOOD	35209	HOMEWOOD FD	HOMEWOOD_FD	467	BIRMINGHAM FD | MOUNTAIN BROOK FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
3001 JENKINS ST	BIRMINGHAM	35228	BIRMINGHAM FD	1101	VERIFY - NO BEAT MATCH	MIDFIELD FD | LIPSCOMB FD | BRIGHTON FD | FAIRFIELD FD
3001 KARL DALY RD	IRONDALE	35210	IRONDALE FD	IRONDALE_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | VESTAVIA HILLS FD | REX LAKE FD | MOUNTAIN BROOK FD
